"Id","MSSubClass","MSZoning","LotFrontage","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice"
1,60,"RL",65,8450,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2003,2003,"Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Fa","Po","Mn","BLQ",706,"Rec",0,150,856,"GasA","Ex","Y","SBrkr",856,854,0,1710,1,0,2,1,3,1,"Gd",8,"Typ",0,"0","2Types","2003","Fin",2,548,"Po","Po","Y",0,61,0,0,0,0,"0","0","0",0,2,2008,"WD","Normal",208500
2,20,"RL",80,9600,"Pave","0","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,1976,1976,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Fa","Po","Av","0",978,"Rec",0,284,1262,"GasA","Ex","Y","SBrkr",1262,0,0,1262,0,1,2,0,3,1,"TA",6,"Typ",1,"Po","2Types","1976","Fin",2,460,"Po","Po","Y",298,0,0,0,0,0,"0","0","0",0,5,2007,"WD","Normal",181500
3,60,"RL",68,11250,"Pave","0","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,2001,2002,"Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Fa","Po","Gd","BLQ",486,"Rec",0,434,920,"GasA","Ex","Y","SBrkr",920,866,0,1786,1,0,2,1,3,1,"Gd",6,"Typ",1,"Po","2Types","2001","Fin",2,608,"Po","Po","Y",0,42,0,0,0,0,"0","0","0",0,9,2008,"WD","Normal",223500
4,70,"RL",60,9550,"Pave","0","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,1915,1970,"Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","Gd","Fa","Mn","0",216,"Rec",0,540,756,"GasA","Gd","Y","SBrkr",961,756,0,1717,1,0,1,0,3,1,"Gd",7,"Typ",1,"Fa","CarPort","1998","RFn",3,642,"Po","Po","Y",0,35,272,0,0,0,"0","0","0",0,2,2006,"WD","Abnorml",140000
5,60,"RL",84,14260,"Pave","0","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,2000,2000,"Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Fa","Po","0","BLQ",655,"Rec",0,490,1145,"GasA","Ex","Y","SBrkr",1145,1053,0,2198,1,0,2,1,4,1,"Gd",9,"Typ",1,"Po","2Types","2000","Fin",3,836,"Po","Po","Y",192,84,0,0,0,0,"0","0","0",0,12,2008,"WD","Normal",250000
6,50,"RL",85,14115,"Pave","0","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Fa","Po","Mn","BLQ",732,"Rec",0,64,796,"GasA","Ex","Y","SBrkr",796,566,0,1362,1,0,1,1,1,1,"TA",5,"Typ",0,"0","2Types","1993","RFn",2,480,"Po","Po","Y",40,30,0,320,0,0,"0","GdWo","Othr",700,10,2009,"WD","Normal",143000
7,20,"RL",75,10084,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,2004,2005,"Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","0","Po","0","BLQ",1369,"Rec",0,317,1686,"GasA","Ex","Y","SBrkr",1694,0,0,1694,1,0,2,0,3,1,"Gd",7,"Typ",1,"Fa","2Types","2004","Fin",2,636,"Po","Po","Y",255,57,0,0,0,0,"0","0","0",0,8,2007,"WD","Normal",307000
8,60,"RL",70.0499583680267,10382,"Pave","0","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,1973,1973,"Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Fa","Po","Gd","0",859,"ALQ",32,216,1107,"GasA","Ex","Y","SBrkr",1107,983,0,2090,1,0,2,1,3,1,"TA",7,"Typ",2,"Po","2Types","1973","Fin",2,484,"Po","Po","Y",235,204,228,0,0,0,"0","0","Othr",350,11,2009,"WD","Normal",200000
9,50,"RM",51,6120,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,1931,1950,"Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","Gd","Po","Mn","Rec",0,"Rec",0,952,952,"GasA","Gd","Y","FuseF",1022,752,0,1774,0,0,2,0,2,2,"TA",8,"Min1",2,"Po","CarPort","1931","RFn",2,468,"Ex","Po","Y",90,0,205,0,0,0,"0","0","0",0,4,2008,"WD","Abnorml",129900
10,190,"RL",50,7420,"Pave","0","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","Gd","Po","Mn","BLQ",851,"Rec",0,140,991,"GasA","Ex","Y","SBrkr",1077,0,0,1077,1,0,1,0,2,2,"TA",5,"Typ",2,"Po","2Types","1939","Fin",1,205,"Fa","Po","Y",0,4,0,0,0,0,"0","0","0",0,1,2008,"WD","Normal",118000
11,20,"RL",70,11200,"Pave","0","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,1965,1965,"Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","Gd","Po","Mn","LwQ",906,"Rec",0,134,1040,"GasA","Ex","Y","SBrkr",1040,0,0,1040,1,0,1,0,3,1,"TA",5,"Typ",0,"0","CarPort","1965","RFn",1,384,"Po","Po","Y",0,0,0,0,0,0,"0","0","0",0,2,2008,"WD","Normal",129500
12,60,"RL",85,11924,"Pave","0","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,2005,2006,"Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","0","Po","Mn","BLQ",998,"Rec",0,177,1175,"GasA","Ex","Y","SBrkr",1182,1142,0,2324,1,0,3,0,4,1,"Ex",11,"Typ",2,"Fa","Basment","2005","0",3,736,"Po","Po","Y",147,21,0,0,0,0,"0","0","0",0,7,2006,"New","Partial",345000
13,20,"RL",70.0499583680267,12968,"Pave","0","IR2","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,1962,1962,"Hip","CompShg","HdBoard","Plywood","None",0,"TA","TA","CBlock","Gd","Po","Mn","0",737,"Rec",0,175,912,"GasA","TA","Y","SBrkr",912,0,0,912,1,0,1,0,2,1,"TA",4,"Typ",0,"0","CarPort","1962","RFn",1,352,"Po","Po","Y",140,0,0,0,176,0,"0","0","0",0,9,2008,"WD","Normal",144000
14,20,"RL",91,10652,"Pave","0","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,2006,2007,"Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Fa","Po","0","Rec",0,"Rec",0,1494,1494,"GasA","Ex","Y","SBrkr",1494,0,0,1494,0,0,2,0,3,1,"Gd",7,"Typ",1,"Fa","2Types","2006","Fin",3,840,"Po","Po","Y",160,33,0,0,0,0,"0","0","0",0,8,2007,"New","Partial",279500
15,20,"RL",70.0499583680267,10920,"Pave","0","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,1960,1960,"Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","Gd","Po","Mn","ALQ",733,"Rec",0,520,1253,"GasA","TA","Y","SBrkr",1253,0,0,1253,1,0,1,1,2,1,"TA",5,"Typ",1,"Ex","2Types","1960","Fin",1,352,"Po","Po","Y",0,213,176,0,0,0,"0","GdPrv","0",0,5,2008,"WD","Normal",157000
16,45,"RM",51,6120,"Pave","0","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,1929,2001,"Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","Gd","Po","Mn","Rec",0,"Rec",0,832,832,"GasA","Ex","Y","FuseA",854,0,0,854,0,0,1,0,2,1,"TA",5,"Typ",0,"0","CarPort","1991","RFn",2,576,"Po","Po","Y",48,112,0,0,0,0,"0","0","0",0,7,2007,"WD","Normal",132000
17,20,"RL",70.0499583680267,11241,"Pave","0","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,1970,1970,"Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","Gd","Po","Mn","0",578,"Rec",0,426,1004,"GasA","Ex","Y","SBrkr",1004,0,0,1004,1,0,1,0,2,1,"TA",5,"Typ",1,"Po","2Types","1970","0",2,480,"Po","Po","Y",0,0,0,0,0,0,"0","0","Othr",700,3,2010,"WD","Normal",149000
